site,MAF_1pc,MAF_0.5pc,MAF_0.1pc,multiallelic
244,FALSE,FALSE,TRUE,FALSE
246,FALSE,FALSE,TRUE,FALSE
247,TRUE,TRUE,TRUE,FALSE
249,FALSE,FALSE,TRUE,FALSE
250,TRUE,TRUE,TRUE,FALSE
257,FALSE,FALSE,TRUE,FALSE
260,FALSE,FALSE,TRUE,FALSE
262,FALSE,FALSE,TRUE,FALSE
263,TRUE,TRUE,TRUE,FALSE
264,FALSE,FALSE,TRUE,FALSE
265,FALSE,FALSE,TRUE,FALSE
271,FALSE,FALSE,TRUE,FALSE
279,FALSE,FALSE,TRUE,FALSE
282,FALSE,FALSE,TRUE,FALSE
285,FALSE,FALSE,TRUE,FALSE
287,FALSE,FALSE,TRUE,FALSE
293,FALSE,FALSE,TRUE,FALSE
294,FALSE,FALSE,TRUE,FALSE
295,TRUE,TRUE,TRUE,TRUE
297,TRUE,TRUE,TRUE,FALSE
298,FALSE,FALSE,TRUE,FALSE
302,TRUE,TRUE,TRUE,FALSE
308,TRUE,TRUE,TRUE,FALSE
309,TRUE,TRUE,TRUE,FALSE
310,TRUE,TRUE,TRUE,FALSE
316,TRUE,TRUE,TRUE,FALSE
318,FALSE,FALSE,TRUE,FALSE
319,FALSE,FALSE,TRUE,FALSE
325,FALSE,FALSE,TRUE,FALSE
326,FALSE,FALSE,TRUE,FALSE
338,FALSE,FALSE,TRUE,FALSE
340,FALSE,FALSE,TRUE,FALSE
357,FALSE,TRUE,TRUE,FALSE
372,FALSE,TRUE,TRUE,FALSE
373,FALSE,FALSE,TRUE,FALSE
374,FALSE,FALSE,TRUE,FALSE
385,FALSE,FALSE,TRUE,FALSE
398,FALSE,FALSE,TRUE,FALSE
408,FALSE,FALSE,TRUE,FALSE
416,FALSE,FALSE,TRUE,FALSE
417,FALSE,TRUE,TRUE,FALSE
418,FALSE,FALSE,TRUE,FALSE
447,FALSE,FALSE,TRUE,FALSE
456,TRUE,TRUE,TRUE,FALSE
460,FALSE,FALSE,TRUE,FALSE
462,TRUE,TRUE,TRUE,FALSE
466,FALSE,FALSE,TRUE,FALSE
467,FALSE,FALSE,TRUE,FALSE
471,FALSE,FALSE,TRUE,FALSE
477,TRUE,TRUE,TRUE,FALSE
480,FALSE,FALSE,TRUE,FALSE
482,TRUE,TRUE,TRUE,FALSE
485,FALSE,FALSE,TRUE,FALSE
489,TRUE,TRUE,TRUE,FALSE
493,TRUE,TRUE,TRUE,FALSE
494,FALSE,FALSE,TRUE,FALSE
497,TRUE,TRUE,TRUE,FALSE
499,TRUE,TRUE,TRUE,FALSE
508,FALSE,TRUE,TRUE,FALSE
511,FALSE,FALSE,TRUE,FALSE
513,TRUE,TRUE,TRUE,FALSE
515,FALSE,FALSE,TRUE,FALSE
520,FALSE,FALSE,TRUE,FALSE
533,FALSE,TRUE,TRUE,FALSE
534,FALSE,FALSE,TRUE,FALSE
537,FALSE,FALSE,TRUE,FALSE
548,FALSE,FALSE,TRUE,FALSE
574,FALSE,FALSE,TRUE,FALSE
593,FALSE,FALSE,TRUE,FALSE
596,FALSE,FALSE,TRUE,FALSE
597,FALSE,FALSE,TRUE,FALSE
629,FALSE,FALSE,TRUE,FALSE
656,FALSE,FALSE,TRUE,FALSE
663,TRUE,TRUE,TRUE,FALSE
669,FALSE,FALSE,TRUE,FALSE
680,FALSE,FALSE,TRUE,FALSE
681,FALSE,FALSE,TRUE,FALSE
709,TRUE,TRUE,TRUE,FALSE
710,FALSE,TRUE,TRUE,FALSE
711,FALSE,FALSE,TRUE,FALSE
719,TRUE,TRUE,TRUE,FALSE
721,FALSE,FALSE,TRUE,FALSE
722,FALSE,FALSE,TRUE,FALSE
723,FALSE,FALSE,TRUE,TRUE
735,FALSE,FALSE,TRUE,FALSE
739,FALSE,FALSE,TRUE,FALSE
750,TRUE,TRUE,TRUE,TRUE
752,FALSE,TRUE,TRUE,FALSE
769,TRUE,TRUE,TRUE,FALSE
789,FALSE,FALSE,TRUE,FALSE
794,FALSE,FALSE,TRUE,FALSE
813,FALSE,FALSE,TRUE,FALSE
824,FALSE,FALSE,TRUE,FALSE
825,TRUE,TRUE,TRUE,FALSE
827,FALSE,FALSE,TRUE,FALSE
850,FALSE,FALSE,TRUE,FALSE
869,FALSE,FALSE,TRUE,FALSE
870,FALSE,FALSE,TRUE,FALSE
921,FALSE,TRUE,TRUE,FALSE
930,TRUE,TRUE,TRUE,TRUE
951,FALSE,TRUE,TRUE,FALSE
961,TRUE,TRUE,TRUE,TRUE
980,TRUE,TRUE,TRUE,FALSE
1005,FALSE,FALSE,TRUE,FALSE
1007,FALSE,FALSE,TRUE,FALSE
1018,TRUE,TRUE,TRUE,FALSE
1040,FALSE,FALSE,TRUE,FALSE
1041,FALSE,TRUE,TRUE,FALSE
1048,TRUE,TRUE,TRUE,FALSE
1095,FALSE,FALSE,TRUE,FALSE
1107,FALSE,TRUE,TRUE,FALSE
1119,FALSE,FALSE,TRUE,FALSE
1189,TRUE,TRUE,TRUE,FALSE
1193,FALSE,FALSE,TRUE,FALSE
1211,FALSE,FALSE,TRUE,FALSE
1243,TRUE,TRUE,TRUE,FALSE
1291,FALSE,FALSE,TRUE,FALSE
1303,FALSE,FALSE,TRUE,FALSE
1382,FALSE,FALSE,TRUE,FALSE
1391,FALSE,FALSE,TRUE,FALSE
1393,FALSE,FALSE,TRUE,FALSE
1406,FALSE,FALSE,TRUE,FALSE
1413,FALSE,FALSE,TRUE,FALSE
1415,FALSE,FALSE,TRUE,FALSE
1420,FALSE,FALSE,TRUE,FALSE
1438,TRUE,TRUE,TRUE,FALSE
1442,FALSE,TRUE,TRUE,FALSE
1452,FALSE,FALSE,TRUE,FALSE
1453,FALSE,FALSE,TRUE,FALSE
1462,FALSE,FALSE,TRUE,FALSE
1503,FALSE,TRUE,TRUE,FALSE
1541,FALSE,FALSE,TRUE,FALSE
1555,FALSE,FALSE,TRUE,FALSE
1598,FALSE,TRUE,TRUE,FALSE
1664,FALSE,FALSE,TRUE,FALSE
1677,FALSE,FALSE,TRUE,FALSE
1692,FALSE,FALSE,TRUE,TRUE
1694,FALSE,FALSE,TRUE,FALSE
1700,FALSE,TRUE,TRUE,FALSE
1703,FALSE,FALSE,TRUE,FALSE
1706,FALSE,FALSE,TRUE,FALSE
1709,FALSE,FALSE,TRUE,FALSE
1715,FALSE,FALSE,TRUE,FALSE
1719,TRUE,TRUE,TRUE,FALSE
1721,FALSE,TRUE,TRUE,FALSE
1733,FALSE,FALSE,TRUE,FALSE
1734,FALSE,FALSE,TRUE,FALSE
1736,TRUE,TRUE,TRUE,FALSE
1738,FALSE,TRUE,TRUE,FALSE
1780,FALSE,TRUE,TRUE,FALSE
1809,FALSE,FALSE,TRUE,FALSE
1811,TRUE,TRUE,TRUE,FALSE
1822,FALSE,TRUE,TRUE,FALSE
1824,FALSE,FALSE,TRUE,FALSE
1842,FALSE,FALSE,TRUE,FALSE
1850,FALSE,FALSE,TRUE,FALSE
1888,TRUE,TRUE,TRUE,FALSE
2000,FALSE,TRUE,TRUE,FALSE
2010,FALSE,FALSE,TRUE,FALSE
2083,FALSE,FALSE,TRUE,FALSE
2092,TRUE,TRUE,TRUE,FALSE
2098,FALSE,FALSE,TRUE,FALSE
2141,FALSE,FALSE,TRUE,FALSE
2158,FALSE,FALSE,TRUE,FALSE
2217,FALSE,FALSE,TRUE,FALSE
2218,FALSE,FALSE,TRUE,FALSE
2220,FALSE,FALSE,TRUE,FALSE
2245,FALSE,TRUE,TRUE,FALSE
2259,FALSE,TRUE,TRUE,FALSE
2281,FALSE,FALSE,TRUE,FALSE
2283,FALSE,FALSE,TRUE,FALSE
2294,FALSE,FALSE,TRUE,FALSE
2308,FALSE,TRUE,TRUE,FALSE
2315,FALSE,FALSE,TRUE,FALSE
2332,FALSE,TRUE,TRUE,FALSE
2352,TRUE,TRUE,TRUE,FALSE
2355,FALSE,FALSE,TRUE,FALSE
2358,FALSE,FALSE,TRUE,FALSE
2361,FALSE,FALSE,TRUE,FALSE
2380,FALSE,FALSE,TRUE,FALSE
2387,FALSE,FALSE,TRUE,FALSE
2389,FALSE,FALSE,TRUE,FALSE
2404,FALSE,FALSE,TRUE,FALSE
2416,TRUE,TRUE,TRUE,FALSE
2442,FALSE,TRUE,TRUE,FALSE
2483,FALSE,FALSE,TRUE,FALSE
2581,FALSE,FALSE,TRUE,FALSE
2626,FALSE,FALSE,TRUE,FALSE
2639,FALSE,FALSE,TRUE,FALSE
2702,FALSE,FALSE,TRUE,FALSE
2706,TRUE,TRUE,TRUE,FALSE
2707,FALSE,FALSE,TRUE,FALSE
2755,FALSE,FALSE,TRUE,FALSE
2757,FALSE,FALSE,TRUE,FALSE
2758,TRUE,TRUE,TRUE,FALSE
2768,FALSE,TRUE,TRUE,FALSE
2772,FALSE,FALSE,TRUE,FALSE
2789,TRUE,TRUE,TRUE,FALSE
2831,FALSE,FALSE,TRUE,TRUE
2833,FALSE,FALSE,TRUE,FALSE
2835,FALSE,FALSE,TRUE,FALSE
2836,FALSE,FALSE,TRUE,FALSE
2850,FALSE,FALSE,TRUE,FALSE
2863,FALSE,FALSE,TRUE,FALSE
2885,TRUE,TRUE,TRUE,FALSE
2887,FALSE,FALSE,TRUE,FALSE
3010,TRUE,TRUE,TRUE,FALSE
3027,TRUE,TRUE,TRUE,FALSE
3105,FALSE,FALSE,TRUE,FALSE
3116,FALSE,FALSE,TRUE,FALSE
3197,TRUE,TRUE,TRUE,FALSE
3200,FALSE,FALSE,TRUE,TRUE
3203,FALSE,FALSE,TRUE,FALSE
3204,FALSE,FALSE,TRUE,FALSE
3206,FALSE,FALSE,TRUE,FALSE
3210,FALSE,FALSE,TRUE,FALSE
3212,FALSE,FALSE,TRUE,FALSE
3221,FALSE,FALSE,TRUE,FALSE
3275,FALSE,FALSE,TRUE,FALSE
3290,FALSE,FALSE,TRUE,FALSE
3308,FALSE,TRUE,TRUE,FALSE
3316,TRUE,TRUE,TRUE,FALSE
3330,FALSE,FALSE,TRUE,FALSE
3333,FALSE,FALSE,TRUE,FALSE
3336,FALSE,FALSE,TRUE,FALSE
3337,FALSE,FALSE,TRUE,FALSE
3338,FALSE,FALSE,TRUE,FALSE
3348,FALSE,TRUE,TRUE,FALSE
3357,FALSE,FALSE,TRUE,FALSE
3360,FALSE,FALSE,TRUE,FALSE
3384,FALSE,FALSE,TRUE,FALSE
3394,TRUE,TRUE,TRUE,FALSE
3396,FALSE,TRUE,TRUE,FALSE
3397,FALSE,FALSE,TRUE,FALSE
3398,FALSE,FALSE,TRUE,FALSE
3421,FALSE,FALSE,TRUE,FALSE
3423,FALSE,FALSE,TRUE,FALSE
3434,FALSE,TRUE,TRUE,FALSE
3438,TRUE,TRUE,TRUE,FALSE
3447,FALSE,TRUE,TRUE,FALSE
3450,FALSE,TRUE,TRUE,FALSE
3456,FALSE,FALSE,TRUE,FALSE
3480,TRUE,TRUE,TRUE,FALSE
3483,FALSE,TRUE,TRUE,FALSE
3497,FALSE,FALSE,TRUE,FALSE
3498,FALSE,FALSE,TRUE,FALSE
3504,FALSE,FALSE,TRUE,FALSE
3505,TRUE,TRUE,TRUE,FALSE
3511,FALSE,FALSE,TRUE,FALSE
3513,FALSE,FALSE,TRUE,FALSE
3516,TRUE,TRUE,TRUE,FALSE
3531,FALSE,TRUE,TRUE,FALSE
3537,FALSE,FALSE,TRUE,FALSE
3540,FALSE,FALSE,TRUE,FALSE
3549,FALSE,FALSE,TRUE,FALSE
3552,TRUE,TRUE,TRUE,TRUE
3571,FALSE,FALSE,TRUE,FALSE
3579,FALSE,FALSE,TRUE,FALSE
3588,FALSE,FALSE,TRUE,FALSE
3591,FALSE,TRUE,TRUE,FALSE
3594,TRUE,TRUE,TRUE,FALSE
3606,TRUE,TRUE,TRUE,FALSE
3618,FALSE,FALSE,TRUE,FALSE
3630,FALSE,FALSE,TRUE,FALSE
3644,FALSE,FALSE,TRUE,FALSE
3645,FALSE,FALSE,TRUE,FALSE
3654,FALSE,FALSE,TRUE,FALSE
3663,FALSE,FALSE,TRUE,FALSE
3666,TRUE,TRUE,TRUE,FALSE
3672,FALSE,FALSE,TRUE,FALSE
3687,FALSE,FALSE,TRUE,FALSE
3693,TRUE,TRUE,TRUE,FALSE
3705,TRUE,TRUE,TRUE,FALSE
3714,FALSE,FALSE,TRUE,FALSE
3720,FALSE,TRUE,TRUE,FALSE
3736,FALSE,FALSE,TRUE,FALSE
3738,FALSE,FALSE,TRUE,FALSE
3741,TRUE,TRUE,TRUE,FALSE
3744,FALSE,FALSE,TRUE,FALSE
3745,FALSE,FALSE,TRUE,FALSE
3753,FALSE,FALSE,TRUE,FALSE
3756,TRUE,TRUE,TRUE,FALSE
3768,FALSE,FALSE,TRUE,FALSE
3777,FALSE,FALSE,TRUE,FALSE
3780,FALSE,FALSE,TRUE,FALSE
3796,FALSE,TRUE,TRUE,TRUE
3816,FALSE,FALSE,TRUE,FALSE
3826,FALSE,FALSE,TRUE,FALSE
3834,FALSE,TRUE,TRUE,FALSE
3843,FALSE,TRUE,TRUE,FALSE
3847,FALSE,TRUE,TRUE,FALSE
3849,FALSE,FALSE,TRUE,FALSE
3861,FALSE,FALSE,TRUE,FALSE
3866,FALSE,FALSE,TRUE,FALSE
3882,FALSE,FALSE,TRUE,FALSE
3915,TRUE,TRUE,TRUE,FALSE
3918,TRUE,TRUE,TRUE,FALSE
3921,FALSE,FALSE,TRUE,TRUE
3927,FALSE,FALSE,TRUE,FALSE
3970,TRUE,TRUE,TRUE,FALSE
3981,FALSE,FALSE,TRUE,FALSE
3990,FALSE,FALSE,TRUE,FALSE
3992,FALSE,TRUE,TRUE,FALSE
3999,FALSE,FALSE,TRUE,FALSE
4017,FALSE,FALSE,TRUE,FALSE
4023,FALSE,FALSE,TRUE,FALSE
4024,FALSE,TRUE,TRUE,FALSE
4025,FALSE,TRUE,TRUE,FALSE
4038,FALSE,FALSE,TRUE,FALSE
4044,FALSE,FALSE,TRUE,FALSE
4047,FALSE,FALSE,TRUE,FALSE
4048,TRUE,TRUE,TRUE,FALSE
4071,TRUE,TRUE,TRUE,FALSE
4080,FALSE,FALSE,TRUE,FALSE
4086,TRUE,TRUE,TRUE,FALSE
4092,FALSE,FALSE,TRUE,FALSE
4093,FALSE,FALSE,TRUE,FALSE
4104,TRUE,TRUE,TRUE,FALSE
4113,FALSE,FALSE,TRUE,FALSE
4117,FALSE,TRUE,TRUE,FALSE
4129,FALSE,FALSE,TRUE,FALSE
4131,FALSE,FALSE,TRUE,FALSE
4136,FALSE,FALSE,TRUE,FALSE
4140,FALSE,FALSE,TRUE,FALSE
4158,FALSE,FALSE,TRUE,FALSE
4164,TRUE,TRUE,TRUE,FALSE
4170,FALSE,FALSE,TRUE,FALSE
4188,FALSE,FALSE,TRUE,FALSE
4197,FALSE,TRUE,TRUE,FALSE
4203,FALSE,FALSE,TRUE,FALSE
4204,FALSE,FALSE,TRUE,FALSE
4216,TRUE,TRUE,TRUE,FALSE
4218,FALSE,TRUE,TRUE,FALSE
4219,FALSE,FALSE,TRUE,FALSE
4225,FALSE,FALSE,TRUE,FALSE
4232,TRUE,TRUE,TRUE,FALSE
4248,TRUE,TRUE,TRUE,FALSE
4295,FALSE,FALSE,TRUE,FALSE
4312,TRUE,TRUE,TRUE,FALSE
4313,FALSE,FALSE,TRUE,FALSE
4336,FALSE,TRUE,TRUE,FALSE
4342,FALSE,FALSE,TRUE,FALSE
4343,FALSE,FALSE,TRUE,FALSE
4363,FALSE,FALSE,TRUE,FALSE
4370,FALSE,FALSE,TRUE,FALSE
4385,FALSE,FALSE,TRUE,FALSE
4386,FALSE,FALSE,TRUE,FALSE
4388,FALSE,FALSE,TRUE,FALSE
4394,FALSE,FALSE,TRUE,FALSE
4418,FALSE,FALSE,TRUE,FALSE
4452,FALSE,FALSE,TRUE,FALSE
4454,FALSE,TRUE,TRUE,TRUE
4491,TRUE,TRUE,TRUE,FALSE
4502,FALSE,FALSE,TRUE,FALSE
4506,FALSE,FALSE,TRUE,FALSE
4529,TRUE,TRUE,TRUE,FALSE
4541,FALSE,FALSE,TRUE,FALSE
4553,FALSE,FALSE,TRUE,FALSE
4561,FALSE,TRUE,TRUE,FALSE
4562,FALSE,FALSE,TRUE,TRUE
4580,TRUE,TRUE,TRUE,FALSE
4586,TRUE,TRUE,TRUE,FALSE
4589,FALSE,FALSE,TRUE,FALSE
4592,FALSE,FALSE,TRUE,FALSE
4596,FALSE,FALSE,TRUE,FALSE
4639,FALSE,FALSE,TRUE,FALSE
4640,FALSE,FALSE,TRUE,FALSE
4643,FALSE,FALSE,TRUE,FALSE
4646,TRUE,TRUE,TRUE,FALSE
4655,FALSE,TRUE,TRUE,FALSE
4659,FALSE,FALSE,TRUE,FALSE
4688,FALSE,TRUE,TRUE,FALSE
4696,FALSE,FALSE,TRUE,FALSE
4697,FALSE,FALSE,TRUE,FALSE
4703,FALSE,TRUE,TRUE,FALSE
4706,FALSE,FALSE,TRUE,FALSE
4715,TRUE,TRUE,TRUE,FALSE
4722,FALSE,FALSE,TRUE,FALSE
4727,FALSE,TRUE,TRUE,FALSE
4732,FALSE,TRUE,TRUE,FALSE
4733,FALSE,FALSE,TRUE,FALSE
4736,FALSE,FALSE,TRUE,FALSE
4742,FALSE,FALSE,TRUE,FALSE
4745,FALSE,FALSE,TRUE,FALSE
4755,FALSE,FALSE,TRUE,FALSE
4767,FALSE,FALSE,TRUE,FALSE
4769,TRUE,TRUE,TRUE,TRUE
4772,FALSE,FALSE,TRUE,FALSE
4775,FALSE,FALSE,TRUE,FALSE
4793,FALSE,TRUE,TRUE,FALSE
4811,FALSE,FALSE,TRUE,FALSE
4820,FALSE,FALSE,TRUE,FALSE
4823,FALSE,TRUE,TRUE,FALSE
4824,TRUE,TRUE,TRUE,FALSE
4833,TRUE,TRUE,TRUE,FALSE
4850,TRUE,TRUE,TRUE,FALSE
4853,FALSE,FALSE,TRUE,FALSE
4856,FALSE,FALSE,TRUE,FALSE
4859,FALSE,FALSE,TRUE,FALSE
4883,TRUE,TRUE,TRUE,FALSE
4904,FALSE,FALSE,TRUE,FALSE
4907,FALSE,TRUE,TRUE,FALSE
4916,FALSE,FALSE,TRUE,FALSE
4917,TRUE,TRUE,TRUE,FALSE
4924,FALSE,FALSE,TRUE,FALSE
4928,FALSE,FALSE,TRUE,FALSE
4937,FALSE,FALSE,TRUE,FALSE
4949,FALSE,FALSE,TRUE,FALSE
4958,FALSE,FALSE,TRUE,FALSE
4959,FALSE,FALSE,TRUE,FALSE
4960,FALSE,FALSE,TRUE,FALSE
4964,FALSE,FALSE,TRUE,FALSE
4973,FALSE,FALSE,TRUE,FALSE
4991,FALSE,TRUE,TRUE,FALSE
5004,FALSE,TRUE,TRUE,FALSE
5027,FALSE,FALSE,TRUE,FALSE
5036,FALSE,TRUE,TRUE,FALSE
5046,TRUE,TRUE,TRUE,FALSE
5048,FALSE,FALSE,TRUE,FALSE
5054,FALSE,FALSE,TRUE,FALSE
5063,FALSE,FALSE,TRUE,FALSE
5074,FALSE,FALSE,TRUE,FALSE
5076,FALSE,TRUE,TRUE,FALSE
5081,FALSE,FALSE,TRUE,FALSE
5082,FALSE,FALSE,TRUE,FALSE
5087,FALSE,FALSE,TRUE,FALSE
5090,FALSE,TRUE,TRUE,FALSE
5093,FALSE,FALSE,TRUE,FALSE
5096,FALSE,TRUE,TRUE,FALSE
5108,TRUE,TRUE,TRUE,FALSE
5111,FALSE,FALSE,TRUE,FALSE
5120,FALSE,FALSE,TRUE,FALSE
5147,TRUE,TRUE,TRUE,FALSE
5153,FALSE,TRUE,TRUE,FALSE
5178,TRUE,TRUE,TRUE,FALSE
5186,FALSE,FALSE,TRUE,FALSE
5187,FALSE,FALSE,TRUE,FALSE
5196,FALSE,FALSE,TRUE,FALSE
5198,FALSE,FALSE,TRUE,FALSE
5201,FALSE,FALSE,TRUE,FALSE
5231,TRUE,TRUE,TRUE,FALSE
5237,FALSE,FALSE,TRUE,FALSE
5240,FALSE,FALSE,TRUE,FALSE
5252,FALSE,FALSE,TRUE,FALSE
5255,FALSE,FALSE,TRUE,FALSE
5261,FALSE,FALSE,TRUE,FALSE
5262,FALSE,TRUE,TRUE,FALSE
5263,FALSE,TRUE,TRUE,FALSE
5285,FALSE,TRUE,TRUE,FALSE
5291,FALSE,FALSE,TRUE,FALSE
5300,FALSE,FALSE,TRUE,FALSE
5301,TRUE,TRUE,TRUE,FALSE
5315,FALSE,FALSE,TRUE,FALSE
5319,FALSE,FALSE,TRUE,FALSE
5331,FALSE,FALSE,TRUE,FALSE
5348,FALSE,FALSE,TRUE,FALSE
5351,TRUE,TRUE,TRUE,FALSE
5360,TRUE,TRUE,TRUE,FALSE
5375,FALSE,FALSE,TRUE,FALSE
5378,FALSE,FALSE,TRUE,FALSE
5390,FALSE,TRUE,TRUE,FALSE
5393,FALSE,TRUE,TRUE,FALSE
5414,FALSE,FALSE,TRUE,FALSE
5417,TRUE,TRUE,TRUE,FALSE
5426,FALSE,TRUE,TRUE,FALSE
5442,TRUE,TRUE,TRUE,FALSE
5460,TRUE,TRUE,TRUE,FALSE
5465,FALSE,FALSE,TRUE,FALSE
5471,TRUE,TRUE,TRUE,FALSE
5480,FALSE,FALSE,TRUE,FALSE
5483,FALSE,FALSE,TRUE,FALSE
5492,FALSE,FALSE,TRUE,FALSE
5493,FALSE,FALSE,TRUE,FALSE
5495,FALSE,TRUE,TRUE,FALSE
5498,FALSE,FALSE,TRUE,FALSE
5510,FALSE,FALSE,TRUE,FALSE
5553,FALSE,FALSE,TRUE,FALSE
5557,FALSE,FALSE,TRUE,FALSE
5558,FALSE,FALSE,TRUE,FALSE
5563,FALSE,FALSE,TRUE,FALSE
5567,FALSE,FALSE,TRUE,FALSE
5580,FALSE,FALSE,TRUE,FALSE
5581,FALSE,TRUE,TRUE,FALSE
5582,FALSE,FALSE,TRUE,FALSE
5585,TRUE,TRUE,TRUE,FALSE
5586,FALSE,FALSE,TRUE,FALSE
5601,TRUE,TRUE,TRUE,FALSE
5603,FALSE,TRUE,TRUE,FALSE
5628,FALSE,FALSE,TRUE,FALSE
5633,FALSE,FALSE,TRUE,FALSE
5655,FALSE,TRUE,TRUE,FALSE
5656,TRUE,TRUE,TRUE,FALSE
5744,FALSE,FALSE,TRUE,FALSE
5746,FALSE,FALSE,TRUE,FALSE
5747,FALSE,FALSE,TRUE,FALSE
5773,TRUE,TRUE,TRUE,FALSE
5774,FALSE,FALSE,TRUE,TRUE
5811,FALSE,FALSE,TRUE,FALSE
5814,FALSE,FALSE,TRUE,FALSE
5821,FALSE,TRUE,TRUE,FALSE
5823,FALSE,FALSE,TRUE,FALSE
5824,FALSE,FALSE,TRUE,FALSE
5836,FALSE,FALSE,TRUE,FALSE
5839,FALSE,FALSE,TRUE,FALSE
5843,FALSE,TRUE,TRUE,FALSE
5892,FALSE,FALSE,TRUE,FALSE
5894,FALSE,FALSE,TRUE,TRUE
5911,FALSE,TRUE,TRUE,FALSE
5913,TRUE,TRUE,TRUE,FALSE
5951,TRUE,TRUE,TRUE,FALSE
5964,FALSE,FALSE,TRUE,FALSE
5978,FALSE,TRUE,TRUE,FALSE
5984,FALSE,FALSE,TRUE,FALSE
5985,FALSE,FALSE,TRUE,FALSE
5999,TRUE,TRUE,TRUE,FALSE
6023,FALSE,TRUE,TRUE,FALSE
6026,TRUE,TRUE,TRUE,FALSE
6040,FALSE,FALSE,TRUE,FALSE
6045,FALSE,TRUE,TRUE,FALSE
6047,TRUE,TRUE,TRUE,FALSE
6071,TRUE,TRUE,TRUE,FALSE
6077,FALSE,FALSE,TRUE,FALSE
6146,FALSE,FALSE,TRUE,FALSE
6150,FALSE,TRUE,TRUE,FALSE
6152,FALSE,TRUE,TRUE,FALSE
6164,FALSE,FALSE,TRUE,FALSE
6173,FALSE,FALSE,TRUE,FALSE
6179,FALSE,FALSE,TRUE,FALSE
6182,FALSE,FALSE,TRUE,FALSE
6185,TRUE,TRUE,TRUE,FALSE
6216,FALSE,FALSE,TRUE,FALSE
6221,TRUE,TRUE,TRUE,TRUE
6227,FALSE,FALSE,TRUE,FALSE
6228,FALSE,FALSE,TRUE,FALSE
6231,FALSE,FALSE,TRUE,FALSE
6239,FALSE,FALSE,TRUE,FALSE
6248,FALSE,FALSE,TRUE,FALSE
6249,FALSE,FALSE,TRUE,FALSE
6253,TRUE,TRUE,TRUE,FALSE
6260,TRUE,TRUE,TRUE,FALSE
6261,FALSE,TRUE,TRUE,FALSE
6266,TRUE,TRUE,TRUE,FALSE
6267,FALSE,FALSE,TRUE,FALSE
6272,FALSE,FALSE,TRUE,FALSE
6281,FALSE,FALSE,TRUE,FALSE
6284,FALSE,FALSE,TRUE,FALSE
6285,FALSE,FALSE,TRUE,FALSE
6293,FALSE,FALSE,TRUE,FALSE
6296,FALSE,FALSE,TRUE,FALSE
